player_class,player_archetype,opponent_class,opponent_archetype,win_rate,total_games
Paladin,Buff Paladin,Paladin,Aggro Paladin,33.05,118
Paladin,Buff Paladin,Priest,Dragon Priest,27.73,119
Paladin,Buff Paladin,Priest,Spiteful Priest,34.01,147
Paladin,Buff Paladin,Rogue,Mill Rogue,43.27,104
Paladin,Buff Paladin,Warlock,Control Warlock,44.14,111
Paladin,Buff Paladin,Warlock,Cube Warlock,32.76,116
Paladin,Buff Paladin,Warlock,Zoo Warlock,44.55,101
Paladin,Control Paladin,Druid,Aggro Token Druid,54.29,210
Paladin,Control Paladin,Druid,Jade Druid,59.96,472
Paladin,Control Paladin,Druid,Ramp Druid,36.84,133
Paladin,Control Paladin,Druid,Spiteful Druid,39.53,172
Paladin,Control Paladin,Hunter,Face Hunter,56.49,131
Paladin,Control Paladin,Hunter,Midrange Hunter,44.2,647
Paladin,Control Paladin,Hunter,Spell Hunter,58.18,660
Paladin,Control Paladin,Mage,Burn Mage,51.08,464
Paladin,Control Paladin,Mage,Exodia Mage,37.17,113
Paladin,Control Paladin,Mage,Freeze Mage,70,120
Paladin,Control Paladin,Mage,Secret Mage,46.51,2232
Paladin,Control Paladin,Paladin,Aggro Paladin,44.74,1605
Paladin,Control Paladin,Paladin,Control Paladin,50,348
Paladin,Control Paladin,Paladin,Murloc Paladin,48,1375
Paladin,Control Paladin,Priest,Big Priest,44.38,552
Paladin,Control Paladin,Priest,Dragon Priest,45.54,1122
Paladin,Control Paladin,Priest,Spiteful Priest,35.91,1412
Paladin,Control Paladin,Rogue,Mill Rogue,50.75,534
Paladin,Control Paladin,Rogue,Miracle Rogue,39.9,416
Paladin,Control Paladin,Rogue,Tempo Rogue,50,154
Paladin,Control Paladin,Shaman,Elemental Shaman,55.89,263
Paladin,Control Paladin,Shaman,Evolve Shaman,50.63,237
Paladin,Control Paladin,Warlock,Control Warlock,39.23,1012
Paladin,Control Paladin,Warlock,Cube Warlock,34.39,1413
Paladin,Control Paladin,Warlock,Zoo Warlock,50.89,674
Paladin,Control Paladin,Warrior,Control Warrior,61.11,198
Paladin,Murloc Paladin,Druid,Aggro Token Druid,58.81,1107
Paladin,Murloc Paladin,Druid,C'Thun Druid,70.97,248
Paladin,Murloc Paladin,Druid,Jade Druid,59.07,2756
Paladin,Murloc Paladin,Druid,Ramp Druid,76.99,365
Paladin,Murloc Paladin,Druid,Spiteful Druid,58.6,1285
Paladin,Murloc Paladin,Hunter,Face Hunter,48.76,646
Paladin,Murloc Paladin,Hunter,Midrange Hunter,56.72,3417
Paladin,Murloc Paladin,Hunter,Spell Hunter,49.41,4262
Paladin,Murloc Paladin,Mage,Burn Mage,49.16,2309
Paladin,Murloc Paladin,Mage,Exodia Mage,70.06,541
